label,name,notice,furigana
缶・びん・プラ,油缶?,中身は使い切る,ア
缶・びん・プラ,移植ベラ（金属製）????????,土・砂を落として,イ
缶・びん・プラ,一斗缶（油、ペンキなど）?,中身は使い切る。中身が入っているものは販売店、メーカーに相談,イ
缶・びん・プラ,植木ポット・苗ポット（プラスチック製）??,,ウ
缶・びん・プラ,オイル容器（プラスチック製）??????,中身は使い切る,オ
缶・びん・プラ,オイル缶,中身は使い切る,オ
缶・びん・プラ,温度計（水銀）??????,透明な袋に入れる,オ
缶・びん・プラ,カップ麺のフタ・容器（プラスチック製）??,,カ
缶・びん・プラ,緩衝材（プラスチック製）?,,カ
缶・びん・プラ,カセットボンベ??????,使い切って、屋外の火気のない風通しのよい所で穴を開ける。中身が入っているものはメーカーに相談※カセットボンベの処理方法の問い合わせは「カセットボンベお客さまセンター　電話0120-14-9996」,カ
缶・びん・プラ,釜??????,洗って出す。おおむね30cmを超えるものは粗大ごみ（高さ・幅・奥行の合計が1.5m未満400円、1.5m以上800円）,カ
缶・びん・プラ,乾電池（筒型）??????,透明な袋に入れる,カ
缶・びん・プラ,缶詰の缶とフタ????,フタは缶の中に入れて,カ
缶・びん・プラ,キャップ・フタ（プラスチック製）??,,キ
缶・びん・プラ,急須（金属製）????,,キ
缶・びん・プラ,金庫（手提げ）??????,おおむね30cmを超えるものは粗大ごみ（高さ・幅・奥行の合計が1.5m未満400円、1.5m以上800円）,キ
缶・びん・プラ,薬（粉薬）の袋・容器（プラスチック製）??????,裏の金や銀のシートは付いたままでもよい。プラスチック製以外のものは家庭ごみ,ク
缶・びん・プラ,蛍光管??????,購入時のケースに入れるか新聞などで包んで。白熱灯電球は家庭ごみへ,ケ
缶・びん・プラ,米の入った外袋（プラスチック製）????,,コ
缶・びん・プラ,コップ（金属製）??,,コ
缶・びん・プラ,皿（金属製）??,,サ
缶・びん・プラ,ざる・ボウル（金属製）????,,サ
缶・びん・プラ,食品トレイ（プラスチック製）??????,店頭回収もあります,シ
缶・びん・プラ,除湿剤の容器??????,,シ
缶・びん・プラ,消火具（スプレー式）????????,使い切って、屋外の火気のない風通しのよい所で穴を開ける,シ
缶・びん・プラ,じょうろ（金属製）????,,シ
缶・びん・プラ,水筒（ステンレス製）,フタは家庭ごみ,ス
缶・びん・プラ,スプレー缶?,使い切って、屋外の火気のない風通しのよい所で穴を開ける。中身が入っているものはメーカーに相談,ス
缶・びん・プラ,洗面器（金属製）??,,セ
缶・びん・プラ,卵パック（プラスチック製）?????,店頭回収もあります,タ
缶・びん・プラ,体温計（水銀）??????,透明な袋に入れる,タ
缶・びん・プラ,ティッシュペーパーの箱の取り出し口のビニール????,,テ
缶・びん・プラ,電池類（筒型）????????,透明な袋に入れる,テ
缶・びん・プラ,トレイ（プラスチック製）（食品が入っていたもの）?,店頭回収もあります,ト
缶・びん・プラ,トースター（オーブントースターを除くすべて金属のもの）?,おおむね30cmを超えるものは粗大ごみ（高さ・幅・奥行の合計が1.5m未満400円、1.5m以上800円）,ト
缶・びん・プラ,鍋（ほうろうを含む）????????,汚れを落とす,ナ
缶・びん・プラ,ネット（果物などを包む）????,,ネ
缶・びん・プラ,パック（いちごなどのプラスチック製の果物入れ）??,,ハ
缶・びん・プラ,発泡スチロール製の容器????,,ハ
缶・びん・プラ,発泡スチロール製の緩衝材??,,ハ
缶・びん・プラ,バケツ（金属製）?,おおむね30cmを超えるものは粗大ごみ400円,ハ
缶・びん・プラ,ビニール袋??????,家庭で使うために購入したものは家庭ごみへ,ヒ
缶・びん・プラ,肥料袋（プラスチック製）??????,農業で使用の場合は産業廃棄物,ヒ
缶・びん・プラ,びん（食品・飲料・化粧品用）?,使い切り、軽く洗い、フタをはずす,ヒ
缶・びん・プラ,プラモデル部品の型枠????,,フ
缶・びん・プラ,風呂敷（ビニール）（商品の包装に供されたもの）,,フ
缶・びん・プラ,フタ（プラスチック製）?????,,フ
缶・びん・プラ,フライパン??????,汚れを落とす,フ
缶・びん・プラ,ペットボトルのラベル（プラスチック製）????,,ヘ
缶・びん・プラ,弁当の容器（持ち帰り用・プラスチック製）????????,中仕切り（バラン）は家庭ごみ,ヘ
缶・びん・プラ,ペットボトル（油または原材料に油を使用した調味料など）?????,フタをはずし、軽く洗い、つぶす,ヘ
缶・びん・プラ,ヘアースプレーの缶,使い切って、屋外の火気のない風通しのよい所で穴を開ける。中身が入っているものはメーカーに相談,ヘ
缶・びん・プラ,ペットボトル（清涼飲料・乳飲料・酒類・しょうゆ類・めんつゆ・ノンオイルドレッシングなど）????????,フタをはずし、軽く洗い、つぶしてラベルをはがす,ヘ
缶・びん・プラ,弁当箱（金属製）??,,ヘ
缶・びん・プラ,芳香剤などのケース??????,プラスチック製以外のものは家庭ごみ,ホ
缶・びん・プラ,防虫剤のケース?????,プラスチック製以外のものは家庭ごみ,ホ
缶・びん・プラ,やかん??,,ヤ
缶・びん・プラ,湯たんぽ（金属製）????,,ユ
缶・びん・プラ,容器・包装（ヨーグルトなどのプラスチック製のもの）??,,ヨ
缶・びん・プラ,レジ袋??,,レ

